chrom	start	end	nSites	recombRate	CI95LO	CI95HI	recomb_cM_Mb	recomb_quantile_100
b'1'	28000	42000	164	2.86430471615064e-09	2.12206264556682e-09	3.1896260471357e-09	0.286430471615064	97
b'1'	42000	56000	818	3.34959232934298e-10	2.98455463170476e-12	1.31704991115971e-09	0.0334959232934298	7
b'1'	56000	70000	147	5.11820648890185e-10	4.77371994428128e-11	1.46329745179194e-09	0.0511820648890185	14
b'1'	70000	84000	191	9.71239941961886e-11	0	9.04487564639275e-10	0.00971239941961886	1
b'1'	84000	98000	947	3.76819627472359e-10	7.57860099943402e-11	1.29470372953087e-09	0.0376819627472359	8
b'1'	98000	112000	1088	1.88682107658579e-10	0	1.13125852735211e-09	0.0188682107658579	3
b'1'	112000	126000	1200	2.97850224502239e-10	1.92996946380984e-11	1.19852250570329e-09	0.0297850224502239	5
b'1'	126000	140000	1184	1.58165495033038e-09	7.08802336532385e-10	2.11467636622422e-09	0.158165495033038	72
b'1'	140000	154000	320	3.83513614803282e-10	8.24799973252628e-11	1.30139771686179e-09	0.0383513614803282	8
b'1'	154000	168000	1016	1.38100239602159e-09	5.62052790669253e-10	1.99703323347413e-09	0.138100239602159	63
b'1'	168000	182000	1271	2.53059519584494e-10	0	1.21663653220933e-09	0.0253059519584494	4
b'1'	182000	196000	1484	1.08542924873399e-09	3.53302267471862e-10	1.84887741453098e-09	0.108542924873399	48
b'1'	196000	210000	924	1.03012430204119e-09	3.09795570656139e-10	1.82376613762481e-09	0.103012430204119	44
b'1'	210000	224000	1094	7.61049564828202e-10	1.40004249653718e-10	1.64460496589375e-09	0.0761049564828202	29
b'1'	224000	238000	1661	1.13714477098123e-09	3.53769528528809e-10	1.88644003015379e-09	0.113714477098123	50
b'1'	238000	252000	1394	8.01667180026912e-10	1.60616861642894e-10	1.71281462085656e-09	0.0801667180026912	32
b'1'	252000	266000	1456	2.35024183623275e-09	1.51845045046359e-09	2.74903451844296e-09	0.235024183623275	91
b'1'	266000	280000	982	2.80920091716168e-09	2.07882459662704e-09	3.14061450262541e-09	0.280920091716168	96
b'1'	280000	294000	1360	2.60979849917029e-09	1.88033873713143e-09	2.94444486534382e-09	0.260979849917029	93
b'1'	294000	308000	1612	1.6557426748576e-09	7.9301331052053e-10	2.13008757155244e-09	0.16557426748576	74
b'1'	308000	322000	1380	8.00612354194708e-10	1.5956203581069e-10	1.71175979502436e-09	0.0800612354194708	32
b'1'	322000	336000	1239	4.21266153176208e-10	6.48757942851958e-11	1.36596421739647e-09	0.0421266153176208	10
b'1'	336000	350000	1337	1.50585347740793e-09	6.79988469083106e-10	2.06731503243438e-09	0.150585347740793	68
b'1'	350000	364000	1587	1.12237053380898e-09	3.38995291356555e-10	1.87166579298153e-09	0.112237053380898	50
b'1'	364000	378000	1379	1.16066508299259e-09	3.86026372871079e-10	1.89543634349473e-09	0.116066508299259	51
b'1'	378000	392000	961	1.18551512158004e-09	4.21181112995045e-10	1.91297582991856e-09	0.118551512158004	53
b'1'	392000	406000	1357	1.85973114344434e-09	1.09198445777397e-09	2.29003430321511e-09	0.185973114344434	80
b'1'	406000	420000	1504	1.22978880198481e-09	4.50449782277304e-10	1.91253395684114e-09	0.122978880198481	56
b'1'	420000	434000	879	2.79609912705514e-09	2.06572280652051e-09	3.12751271251887e-09	0.279609912705514	95
b'1'	434000	448000	1550	1.30806404646184e-09	4.15358617438748e-10	1.93614018200667e-09	0.130806404646184	60
b'1'	448000	462000	793	1.34206627876153e-09	5.15126500996597e-10	1.98587299780882e-09	0.134206627876153	61
b'1'	462000	476000	1635	1.13534180392175e-09	3.51966561469326e-10	1.8846370630943e-09	0.113534180392175	50
b'1'	476000	490000	993	1.5714299443391e-09	6.62718917080341e-10	2.13981373437298e-09	0.15714299443391	71
b'1'	490000	504000	672	6.56209853287745e-10	1.20739107765896e-10	1.54426202675218e-09	0.0656209853287745	22
b'1'	504000	518000	1529	7.65015877421606e-10	1.43970562247121e-10	1.64857127848716e-09	0.0765015877421606	29
b'1'	518000	532000	1212	8.342953628709e-10	2.06198030392972e-10	1.72705886488485e-09	0.08342953628709	33
b'1'	532000	546000	1520	1.00595558802403e-09	2.62264074097081e-10	1.83663909889027e-09	0.100595558802403	43
b'1'	546000	560000	1487	1.26956372358589e-09	4.33509284017866e-10	1.95492233789108e-09	0.126956372358589	59
b'1'	560000	574000	1133	7.65348662910248e-10	1.44303347735763e-10	1.6489040639758e-09	0.0765348662910248	29
b'1'	574000	588000	846	3.09325118709382e-10	3.07745888452414e-11	1.20999739991044e-09	0.0309325118709382	6
b'1'	588000	602000	575	4.94741890719153e-10	1.04840221434833e-10	1.43693377356587e-09	0.0494741890719153	13
b'1'	602000	616000	919	7.97752601945596e-10	1.56702283561579e-10	1.70890004277525e-09	0.0797752601945596	31
b'1'	616000	630000	196	5.62695415479105e-10	7.14921624067126e-11	1.50111244289759e-09	0.0562695415479105	17
b'1'	630000	644000	752	2.28591081443456e-09	1.53678285476959e-09	2.63616725495235e-09	0.228591081443456	90
b'1'	644000	658000	392	2.06186020541282e-09	1.25439353410855e-09	2.49603210384635e-09	0.206186020541282	85
b'1'	658000	672000	1268	1.43601223550409e-09	5.7378410078039e-10	2.01801568094144e-09	0.143601223550409	66
