chrom	start	end	nSites	recombRate	CI95LO	CI95HI
b'1'	28000	42000	164	2.864304716150637e-09	2.1220626455668165e-09	3.1896260471356992e-09
b'1'	42000	56000	818	3.349592329342982e-10	2.984554631704758e-12	1.3170499111597094e-09
b'1'	56000	70000	147	5.11820648890185e-10	4.773719944281276e-11	1.4632974517919368e-09
b'1'	70000	84000	191	9.712399419618857e-11	0	9.044875646392755e-10
b'1'	84000	98000	947	3.768196274723595e-10	7.578600999434024e-11	1.2947037295308678e-09
b'1'	98000	112000	1088	1.886821076585787e-10	0	1.131258527352109e-09
b'1'	112000	126000	1200	2.978502245022395e-10	1.9299694638098413e-11	1.1985225057032932e-09
b'1'	126000	140000	1184	1.581654950330377e-09	7.08802336532385e-10	2.1146763662242184e-09
b'1'	140000	154000	320	3.8351361480328205e-10	8.24799973252628e-11	1.3013977168617903e-09
b'1'	154000	168000	1016	1.38100239602159e-09	5.620527906692531e-10	1.9970332334741315e-09
b'1'	168000	182000	1271	2.530595195844944e-10	0	1.2166365322093333e-09
b'1'	182000	196000	1484	1.0854292487339891e-09	3.5330226747186245e-10	1.8488774145309763e-09
b'1'	196000	210000	924	1.0301243020411944e-09	3.097955706561385e-10	1.8237661376248081e-09
b'1'	210000	224000	1094	7.610495648282021e-10	1.4000424965371773e-10	1.644604965893752e-09
b'1'	224000	238000	1661	1.1371447709812312e-09	3.537695285288091e-10	1.8864400301537864e-09
b'1'	238000	252000	1394	8.016671800269118e-10	1.606168616428941e-10	1.7128146208565636e-09
b'1'	252000	266000	1456	2.3502418362327505e-09	1.5184504504635855e-09	2.7490345184429643e-09
b'1'	266000	280000	982	2.8092009171616755e-09	2.078824596627044e-09	3.140614502625411e-09
b'1'	280000	294000	1360	2.609798499170293e-09	1.8803387371314285e-09	2.944444865343823e-09
b'1'	294000	308000	1612	1.6557426748575973e-09	7.930133105205303e-10	2.130087571552442e-09
b'1'	308000	322000	1380	8.00612354194708e-10	1.5956203581069023e-10	1.7117597950243595e-09
b'1'	322000	336000	1239	4.21266153176208e-10	6.487579428519577e-11	1.3659642173964698e-09
b'1'	336000	350000	1337	1.5058534774079283e-09	6.799884690831063e-10	2.067315032434383e-09
b'1'	350000	364000	1587	1.1223705338089769e-09	3.389952913565548e-10	1.8716657929815325e-09
b'1'	364000	378000	1379	1.1606650829925902e-09	3.86026372871079e-10	1.895436343494733e-09
b'1'	378000	392000	961	1.1855151215800447e-09	4.211811129950454e-10	1.912975829918557e-09
b'1'	392000	406000	1357	1.85973114344434e-09	1.0919844577739726e-09	2.2900343032151132e-09
b'1'	406000	420000	1504	1.2297888019848079e-09	4.504497822773044e-10	1.9125339568411425e-09
b'1'	420000	434000	879	2.7960991270551373e-09	2.0657228065205058e-09	3.127512712518873e-09
b'1'	434000	448000	1550	1.3080640464618362e-09	4.153586174387478e-10	1.936140182006667e-09
b'1'	448000	462000	793	1.3420662787615316e-09	5.151265009965971e-10	1.985872997808822e-09
b'1'	462000	476000	1635	1.135341803921748e-09	3.5196656146932584e-10	1.884637063094303e-09
b'1'	476000	490000	993	1.5714299443390987e-09	6.627189170803414e-10	2.139813734372976e-09
b'1'	490000	504000	672	6.562098532877452e-10	1.2073910776589632e-10	1.5442620267521824e-09
b'1'	504000	518000	1529	7.650158774216055e-10	1.439705622471211e-10	1.6485712784871555e-09
b'1'	518000	532000	1212	8.342953628708999e-10	2.0619803039297178e-10	1.7270588648848488e-09
b'1'	532000	546000	1520	1.0059555880240286e-09	2.622640740970812e-10	1.8366390988902653e-09
b'1'	546000	560000	1487	1.2695637235858895e-09	4.335092840178659e-10	1.9549223378910763e-09
b'1'	560000	574000	1133	7.653486629102478e-10	1.443033477357634e-10	1.648904063975798e-09
b'1'	574000	588000	846	3.093251187093825e-10	3.07745888452414e-11	1.2099973999104361e-09
b'1'	588000	602000	575	4.94741890719153e-10	1.0484022143483258e-10	1.4369337735658743e-09
b'1'	602000	616000	919	7.977526019455964e-10	1.5670228356157865e-10	1.708900042775248e-09
b'1'	616000	630000	196	5.626954154791046e-10	7.149216240671263e-11	1.5011124428975857e-09
b'1'	630000	644000	752	2.2859108144345638e-09	1.536782854769589e-09	2.6361672549523456e-09
b'1'	644000	658000	392	2.0618602054128183e-09	1.2543935341085495e-09	2.4960321038463513e-09
b'1'	658000	672000	1268	1.4360122355040868e-09	5.737841007803897e-10	2.018015680941438e-09
b'1'	672000	686000	1047	7.560850776250281e-10	1.7573838192507673e-10	1.68547458742118e-09
b'1'	686000	700000	1215	8.063023779955323e-10	1.6525205961151452e-10	1.717449818825184e-09
b'1'	700000	714000	1411	1.0375164436223085e-09	3.171877122372526e-10	1.8311582792059222e-09
b'1'	714000	728000	928	4.962893905898816e-10	1.063877213055612e-10	1.438481273436603e-09
b'1'	728000	742000	849	5.101663905176336e-10	4.608294107026131e-11	1.4616431934193854e-09
b'1'	742000	756000	1267	9.84751602649999e-10	2.410600887230517e-10	1.8154351135162358e-09
b'1'	756000	770000	1381	2.1525673499534266e-09	1.287482218645974e-09	2.5635787526434914e-09
b'1'	770000	784000	820	5.229714901194855e-10	1.330698208351651e-10	1.4651633729662069e-09
b'1'	784000	798000	1276	1.8517226110687955e-09	1.083975925398428e-09	2.2820257708395683e-09
b'1'	798000	812000	1186	1.2570104289567377e-09	4.2095598938871413e-10	1.9423690432619243e-09
b'1'	812000	826000	1413	2.114147660345051e-09	1.3046175840383652e-09	2.5074727328569364e-09
b'1'	826000	840000	1551	2.0836408913551813e-09	1.2373319156780133e-09	2.510605649348712e-09
b'1'	840000	854000	1276	9.61400874225991e-10	2.3319238904703054e-10	1.7918663816991127e-09
b'1'	854000	868000	1419	1.2718873470491482e-09	4.358329074811246e-10	1.9572459613543348e-09
b'1'	868000	882000	546	1.3709185278008283e-10	0	9.697430452195534e-10
b'1'	882000	896000	828	6.514087111399375e-10	1.1593796561808863e-10	1.5394608846043745e-09
b'1'	896000	910000	1105	1.211563812424601e-09	4.3222479271709746e-10	1.8943089672809353e-09
b'1'	910000	924000	640	1.3533344965786773e-09	4.994055440298004e-10	1.959704817200285e-09
b'1'	924000	938000	756	1.9409220963167655e-09	1.138554640506794e-09	2.4153561772271787e-09
b'1'	938000	952000	895	4.524984942643882e-10	9.926777459030791e-11	1.3655899494879463e-09
b'1'	952000	966000	927	2.479172730835624e-10	0	1.1629762627758036e-09
b'1'	966000	980000	1248	8.596086908152735e-10	2.3151135833734538e-10	1.7523721928292227e-09
b'1'	980000	994000	921	2.6056602366089674e-09	1.876200474570103e-09	2.9403066027824973e-09
b'1'	994000	1008000	1014	1.2232754337660235e-09	4.4393641405852006e-10	1.906020588622358e-09
b'1'	1008000	1022000	511	8.260262105696028e-10	1.849758921855851e-10	1.7371736513992546e-09
b'1'	1022000	1036000	1177	1.5308727789822782e-09	6.626405276102751e-10	2.1082682382048074e-09
b'1'	1036000	1050000	1168	2.2923752360981677e-09	1.543247276433193e-09	2.6426316766159496e-09
b'1'	1050000	1064000	644	1.4375633363560278e-09	5.753352016323307e-10	2.0195667817933793e-09
b'1'	1064000	1078000	1056	1.0789244616524397e-09	2.869147316306365e-10	1.8134881826134743e-09
b'1'	1078000	1092000	504	1.0661698249327134e-09	3.458410935476575e-10	1.8598116605163271e-09
b'1'	1092000	1106000	1040	7.894483654657965e-10	1.483980470817788e-10	1.7005958062954483e-09
b'1'	1106000	1120000	878	2.9690832868132997e-09	2.2387069662786682e-09	3.3004968722770353e-09
b'1'	1120000	1134000	816	1.4373685718669994e-09	5.751404371433023e-10	2.0193720173043505e-09
b'1'	1134000	1148000	429	3.515010192106869e-10	1.952634090809347e-11	1.3335916974360981e-09
b'1'	1148000	1162000	1051	1.2228715600487952e-09	4.435325403412918e-10	1.9056167149051297e-09
b'1'	1162000	1176000	990	1.057825120922682e-10	0	8.29489326013245e-10
b'1'	1176000	1190000	730	5.457080705241806e-10	9.60532959983267e-11	1.498000493219858e-09
b'1'	1190000	1204000	860	1.304839162193885e-09	4.1213373317079657e-10	1.9329152977387154e-09
b'1'	1204000	1218000	924	5.182952878707234e-10	5.421183842335119e-11	1.4697720907724752e-09
b'1'	1218000	1232000	1449	5.721579468152844e-10	8.095469374289241e-11	1.5105749742337652e-09
b'1'	1232000	1246000	995	3.8604382120082807e-10	8.501020372280882e-11	1.3039279232593364e-09
b'1'	1246000	1260000	1051	3.7650214303883375e-10	7.546852556081449e-11	1.294386245097342e-09
b'1'	1260000	1274000	875	2.232002784098616e-09	1.4007041486144704e-09	2.600757383176874e-09
b'1'	1274000	1288000	705	1.0724120995901707e-09	2.8040236956836753e-10	1.8069758205512053e-09
b'1'	1288000	1302000	698	7.58240994545264e-10	1.5403384356706634e-10	1.657393385976721e-09
b'1'	1302000	1316000	683	2.404921245846928e-10	0	1.155551114276934e-09
b'1'	1316000	1330000	649	8.003632510237878e-10	1.5931293263977008e-10	1.7115106918534396e-09
b'1'	1330000	1344000	542	2.1301228051100103e-10	0	1.1555887002045313e-09
b'1'	1344000	1358000	719	4.5053487547128817e-10	9.73041557972079e-11	1.3636263306948464e-09
b'1'	1358000	1372000	442	7.652094040568761e-10	1.610022530786784e-10	1.6643617954883332e-09
b'1'	1372000	1386000	681	1.2680742692894772e-09	4.3201982972145364e-10	1.9534328835946643e-09
b'1'	1386000	1400000	704	1.7088512009882516e-09	8.818507439839061e-10	2.2334128617634427e-09
b'1'	1400000	1414000	891	3.070793026066085e-10	2.8528772742467436e-11	1.2077515838076622e-09
b'1'	1414000	1428000	453	1.8291051431618503e-09	1.0274497094598194e-09	2.2862134554746762e-09
b'1'	1428000	1442000	788	7.520791417781469e-10	1.7173244607819552e-10	1.6814686515742988e-09
b'1'	1442000	1456000	769	2.0830454959010367e-09	1.2367365202238688e-09	2.5100102538945675e-09
b'1'	1456000	1470000	939	2.2584201955510064e-09	1.4206857914821381e-09	2.6553070578149186e-09
b'1'	1470000	1484000	305	8.320617327875919e-10	2.039644003096638e-10	1.7248252348015409e-09
b'1'	1484000	1498000	1184	1.6923986911513411e-09	8.577152743230999e-10	2.2189742021242452e-09
b'1'	1498000	1512000	1157	1.237898225203238e-09	3.816596881862424e-10	1.919101657754197e-09
b'1'	1512000	1526000	1385	1.2563383226346577e-09	4.202838830666341e-10	1.9416969369398445e-09
b'1'	1526000	1540000	1035	1.3899574880502604e-09	5.710078826979234e-10	2.0059883255028016e-09
b'1'	1540000	1554000	1056	2.8417645528839124e-09	2.111388232349281e-09	3.173178138347648e-09
b'1'	1554000	1568000	448	1.5966301228772839e-09	7.23777509079292e-10	2.1296515387711254e-09
b'1'	1568000	1582000	1260	1.0615429004987814e-09	3.4121416911372547e-10	1.855184736082395e-09
b'1'	1582000	1596000	510	5.031176484174946e-10	1.1321597913317415e-10	1.445309531264216e-09
b'1'	1596000	1610000	747	2.5827997129747937e-09	1.7635129911765868e-09	2.9197199102717133e-09
b'1'	1610000	1624000	597	6.626033960458385e-10	1.720502312899582e-10	1.6230243665763448e-09
b'1'	1624000	1638000	1030	1.441544464058986e-09	5.793163293352889e-10	2.0235479094963373e-09
b'1'	1638000	1652000	676	1.0545470786734427e-09	3.3421834728838677e-10	1.8481889142570564e-09
b'1'	1652000	1666000	973	2.8402240306930416e-09	2.10984771015841e-09	3.171637616156777e-09
b'1'	1666000	1680000	1383	2.845595032887759e-09	2.162112456796238e-09	3.1934594701434105e-09
b'1'	1680000	1694000	1418	3.929720592126879e-10	9.193844173466865e-11	1.310856161271196e-09
b'1'	1694000	1708000	1343	1.2466307136692693e-09	3.9039217665227374e-10	1.927834146220228e-09
b'1'	1708000	1722000	1247	2.173930730664899e-09	1.3796727435070786e-09	2.586097453638849e-09
b'1'	1722000	1736000	1242	2.6078537201128087e-09	1.8783939580739443e-09	2.9425000862863386e-09
b'1'	1736000	1750000	1307	2.0252947123031407e-09	1.2391556279176231e-09	2.433231052566289e-09
b'1'	1750000	1764000	1211	1.5557298905361167e-09	6.470188632773595e-10	2.1241136805699943e-09
b'1'	1764000	1778000	1047	1.979364406799668e-09	1.1310995456689028e-09	2.4067484738251394e-09
b'1'	1778000	1792000	1170	1.0634312101899886e-09	3.4310247880493274e-10	1.8570730457736024e-09
b'1'	1792000	1806000	1259	1.976282116403666e-09	1.1280172552729008e-09	2.4036661834291374e-09
b'1'	1806000	1820000	1140	1.0540987876628701e-09	3.3377005627781425e-10	1.8477406232464839e-09
b'1'	1820000	1834000	1589	1.0223956493887997e-09	3.0206691800374383e-10	1.8160374849724135e-09
b'1'	1834000	1848000	1352	2.892503599258939e-09	2.1621272787243073e-09	3.2239171847226744e-09
b'1'	1848000	1862000	1603	1.5864723155838537e-09	7.136197017858618e-10	2.1194937314776953e-09
b'1'	1862000	1876000	976	2.2365304011960015e-09	1.405231765711856e-09	2.6052850002742595e-09
b'1'	1876000	1890000	801	2.9056326521574926e-09	2.175256331622861e-09	3.2370462376212282e-09
b'1'	1890000	1904000	973	2.830613423022167e-09	2.1002371024875357e-09	3.1620270084859028e-09
b'1'	1904000	1918000	1205	1.1284843831303727e-09	3.4510914067795057e-10	1.877779642302928e-09
b'1'	1918000	1932000	848	3.130224031186692e-09	2.3998477106520603e-09	3.4616376166504274e-09
b'1'	1932000	1946000	1300	2.6451472238320157e-09	1.9400602489150138e-09	2.9714601838182123e-09
b'1'	1946000	1960000	809	7.492281291349833e-10	1.2818281396049887e-10	1.6327835302005334e-09
b'1'	1960000	1974000	1106	1.574106831535368e-09	6.653958042766107e-10	2.142490621569245e-09
b'1'	1974000	1988000	1289	1.0404984797109264e-09	3.2016974832587047e-10	1.83414031529454e-09
b'1'	1988000	2002000	1433	6.508717232199319e-10	1.6031855846405166e-10	1.6112926937504383e-09
b'1'	2002000	2016000	1545	1.0013236795330556e-09	2.576321656061082e-10	1.8320071903992923e-09
b'1'	2016000	2030000	1047	1.260555262567065e-09	4.043167255500695e-10	1.941758695118024e-09
b'1'	2030000	2044000	1153	5.709680690582129e-10	1.2131329453235904e-10	1.5232604917538902e-09
b'1'	2044000	2058000	1021	1.210341852469591e-09	4.3100283276208764e-10	1.8930870073259255e-09
b'1'	2058000	2072000	788	5.91797960195502e-10	7.462041496155325e-11	1.545097566116889e-09
b'1'	2072000	2086000	711	3.260879550703235e-10	4.526113805338658e-13	1.2494944285778498e-09
b'1'	2086000	2100000	734	1.5702490717043223e-09	6.615380444455651e-10	2.1386328617381997e-09
b'1'	2100000	2114000	924	7.512703465076234e-10	1.3022503133313904e-10	1.6348257475731734e-09
b'1'	2114000	2128000	658	1.0305926788016432e-09	3.102639474165873e-10	1.824234514385257e-09
b'1'	2128000	2142000	847	8.20413962978907e-10	1.7936364459488922e-10	1.7315614038085585e-09
b'1'	2142000	2156000	721	9.89238524921643e-10	2.455470109946956e-10	1.8199220357878797e-09
b'1'	2156000	2170000	625	2.376833503078557e-09	1.6416593204363175e-09	2.7371787678168284e-09
b'1'	2170000	2184000	1027	1.1828715060795613e-09	4.1853749749456207e-10	1.9103322144180735e-09
b'1'	2184000	2198000	842	3.9756975301714726e-10	4.117939412613502e-11	1.342267817237409e-09
b'1'	2198000	2212000	678	5.059658272432928e-10	4.188237779592056e-11	1.4574426301450447e-09
b'1'	2212000	2226000	911	1.301857412688547e-09	4.091519836654586e-10	1.929933548233377e-09
b'1'	2226000	2240000	1022	1.625205346050572e-09	7.485513022484667e-10	2.157283150089094e-09
b'1'	2240000	2254000	801	6.856057547683519e-10	1.4101678640306256e-10	1.6179304277880866e-09
b'1'	2254000	2268000	1424	1.8497191447396508e-09	1.0819724590692834e-09	2.280022304510424e-09
b'1'	2268000	2282000	1091	6.488712778596816e-10	1.1340053233783278e-10	1.5369234513241188e-09
b'1'	2282000	2296000	572	6.080384602237489e-10	9.086091498980012e-11	1.5613380661451359e-09
b'1'	2296000	2310000	731	1.916016463476323e-09	1.0428508181332017e-09	2.3787672511649714e-09
b'1'	2310000	2324000	1099	0	0	5.986470541508015e-10
b'1'	2324000	2338000	1029	5.3703249796680383e-11	0	8.153381299609107e-10
b'1'	2338000	2352000	782	1.0257003782505514e-09	3.053716468654955e-10	1.8193422138341651e-09
b'1'	2352000	2366000	732	7.725134399696441e-10	1.6830628899144642e-10	1.671665831401101e-09
b'1'	2366000	2380000	1035	1.0095821800844962e-09	2.9924245831890026e-10	1.8579755078969984e-09
b'1'	2380000	2394000	742	8.642464529524589e-10	1.8254931254912217e-10	1.7467645337882953e-09
b'1'	2394000	2408000	844	5.824066134685758e-10	9.120336039618377e-11	1.5208236408870567e-09
b'1'	2408000	2422000	777	1.3788369478386058e-09	5.598873424862688e-10	1.994867785291147e-09
b'1'	2422000	2436000	711	4.95718805328825e-10	3.1635355881452806e-11	1.447195608230577e-09
b'1'	2436000	2450000	908	5.513163807098139e-10	1.0166160618396005e-10	1.5036088034054912e-09
b'1'	2450000	2464000	809	4.0561142937201587e-10	4.9221070481003636e-11	1.3503094935922776e-09
b'1'	2464000	2478000	757	9.883124372828138e-10	2.4462092335586646e-10	1.8189959481490506e-09
b'1'	2478000	2492000	942	8.564623054457214e-10	2.2836497296779328e-10	1.7492258074596703e-09
b'1'	2492000	2506000	1068	3.887852528008552e-10	3.239489390984297e-11	1.333483317021117e-09
b'1'	2506000	2520000	1033	2.8742268004173863e-10	8.872150177597543e-12	1.1880949612427923e-09
b'1'	2520000	2534000	951	5.848537732011103e-10	6.767622796716154e-11	1.5381533791224973e-09
b'1'	2534000	2548000	1143	1.174198698031251e-09	3.995599879097397e-10	1.9089699585333936e-09
b'1'	2548000	2562000	923	2.236507773577034e-09	1.4052091380928886e-09	2.605262372655292e-09
b'1'	2562000	2576000	912	6.508293587350816e-10	1.6027619397920132e-10	1.611250329265588e-09
b'1'	2576000	2590000	687	5.969196393263355e-10	1.0571638625394351e-10	1.5353366667448165e-09
b'1'	2590000	2604000	822	1.8559790954631385e-09	1.088232409792771e-09	2.2862822552339113e-09
b'1'	2604000	2618000	473	4.0931059650800973e-10	5.2920237616997493e-11	1.3540086607282715e-09
b'1'	2618000	2632000	1089	1.4416460296707711e-09	6.159405451290211e-10	2.0503407742790004e-09
b'1'	2632000	2646000	1169	5.035285735095656e-10	3.944512406219334e-11	1.4550053764113175e-09
b'1'	2646000	2660000	919	1.7122460166810234e-09	8.852455596766779e-10	2.2368076774562143e-09
b'1'	2660000	2674000	1185	1.2540516310340745e-09	4.1799719146605087e-10	1.9394102453392613e-09
b'1'	2674000	2688000	1290	5.77679833451823e-10	8.647658037943102e-11	1.5160968608703039e-09
b'1'	2688000	2702000	1349	1.5100836709013792e-09	6.842186625765571e-10	2.071545225927834e-09
b'1'	2702000	2716000	949	1.0722762840357974e-09	2.8026655401399416e-10	1.806840004996832e-09
b'1'	2716000	2730000	1152	1.7972332277155256e-09	8.725828145345093e-10	2.3048845597978297e-09
